NetworkName	Clauset-Newman-Moore-Modularity	Clauset-Newman-Moore-danon	Clauset-Newman-Moore-nvi	Clauset-Newman-Moore-ji	Louvain-Modularity	Louvain-danon	Louvain-nvi	Louvain-ji	Infomap-Modularity	Infomap-danon	Infomap-nvi	Infomap-ji
rb125	 0.6087328970850684	0.8284043684093798	0.13809329367339537	0.0	 0.6087328970850684	0.8284043684093798	0.13809329367339537	0.08	 0.5315193193590338	0.6258338901157225	0.35583326324910985	0.008	
256_4_4_4_13_18_p	 0.6967733384846297	1.0	0.0	1.0	 0.6974188902601715	0.9517420318399953	0.02535244138934791	0.5625	 0.052358562765625616	0.43396485390140227	0.6298637206946732	0.0	
256_4_4_2_15_18_p	 0.7656597969165412	0.8697083946784426	0.11527255861065223	0.0625	 0.7818042125081899	1.0	0.0	1.0	 0.05248868900785826	0.7041427487455432	0.40477561034733556	0.0234375	
football	 0.5497406651426807	0.6977316621164371	0.2674652001003942	0.10434782608695652	 0.6041836873185388	0.8505542164141608	0.14467612583968137	0.008695652173913044	 0.6005165407471081	0.9241952287164276	0.07840879350587857	0.008695652173913044	
cat_cortex_sim	 0.0	0.0	0.3340927577219421	0.2909090909090909	 0.3654758237229037	0.7296659708883471	0.16360616530352445	0.6909090909090909	 0.015264935604428997	0.4693556986045779	0.6132147385563974	0.05454545454545454	
zachary_unwh	 0.3806706114398422	0.692467326872545	0.15089635716008273	0.029411764705882353	 0.4155982905982906	0.6021446753032743	0.2211627520207509	0.3235294117647059	 0.4020381328073636	0.6994881609814813	0.14380330874196545	0.029411764705882353	
airports_UW	 0.0	None	None	None	 0.6454185924261385	None	None	None	 0.6029875393027397	None	None	None	
dolphins	 0.4954906847039278	0.5727004718449731	0.18826782236918885	0.6935483870967742	 0.5195799216803132	0.4742528044050656	0.29882069733517597	0.20967741935483872	 0.5277283335311101	0.5932109616346125	0.20895538793720558	0.0	
star	 0.0	1.0	0.0	1.0	 0.0	1.0	0.0	1.0	 0.0	1.0	0.0	1.0	
20x2+5x2	 0.5425785462209587	0.938344985628389	0.035436764027111586	0.9	 0.5425785462209587	0.938344985628389	0.035436764027111586	0.9	 0.5415859964709342	1.0	0.0	0.0	
graph4+4	 0.44285714285714284	1.0	0.0	1.0	 0.4408163265306123	0.5856451065097651	0.35375937481971087	0.5	 0.44285714285714284	1.0	0.0	1.0	
graph3+1+3	 0.3671875	1.0	0.0	1.0	 0.3671875	0.5294617736385714	0.3302663984866967	0.8571428571428571	 0.3671875	1.0	0.0	1.0	
